宝塔,浮图
照相,拍照
光荣,庆幸
讨论,会商
省察,省检
肃然,寂然
纠率,鸠率
馋涎欲滴,垂涎欲滴
另有,还有
节减,减削
官价,公价
明净,洁白
重复,反复
善始善终,有头有尾
犯得着,犯的上
起草,草拟
查对,核对
旦角,花旦
抖动,发抖
倡寮,妓院
厮役,苍头
主顾,顾客
来回,往返
抚慰,宽慰
慈爱,慈祥
流离,流浪
万无一失,满有把握
职权,权柄
凋落,凋谢
比翼双飞,琴瑟之好
锋利,锐利
忠实,忠诚
核心,焦点
不雅,不雅观
弃文就武,弃文竞武
捋臂张拳,擦掌摩拳
入木三分,鞭辟入里
心神不定,优柔寡断
惨淡,昏暗
臃肿,痴肥
力图,力求
分解,分化
挺立,耸立
寡居,孀居
上风,优势
种植,栽培
妨碍,故障
品评,批评
彻夜,今夜
劈头,劈脸
扑灭,毁灭
混名,花名
还是,照样
剥夺,褫夺
颖慧,颖悟
困绕,包围
太古,远古
论述,阐述
胡涂一时,聪明一世
浮躁,急躁
迷惑,疑惑
细听,谛听
放弃,废弃
骚动,纷扰
越权代理,尸祝代庖
家贫壁立,环堵萧然
奸笑,狞笑
信心,决心信念
罪不容诛,恶贯满盈
圆满,美满
羽缎,哔叽
再醮,改嫁
妍媸,美丑
挂花,负伤
耳食之闻,道听涂说
浮浅,肤浅
庞大无比,硕大无朋
讨教,叨教
声援,支援
有效,有用
鄙视,藐视
航线,航路
雷同,相通
坚持不懈,锲而不舍
按序,顺次
损失,丧失
觉悟,憬悟
巨人,伟人
记录,记载
目次,目录
公馆,第宅
白痴,痴人
古雅,高古
神情,神色
似是而非,貌同实异
牙婆,媒婆
家声,门风
淘气,调皮
网罗密布,天罗地网
由于,因为
下狱,坐牢
盗贼四起,地方不宁
捧臭脚,拍马屁
讥诮,讽刺
帮手,辅佐
兴高采烈,欢欣鼓舞
黝黑,漆黑
鳃鳃过虑,杞天之忧
抚育,抚养
改定,刊定
千篇一律,陈旧见解
闹热热烈繁华,喧闹
传教,布道
鹘程万里,长风万里
托故,借端
归还,偿还
连续,持续
污蔑,歪曲
笨头笨脑,傻里傻气
荒废,荒芜
模糊,恍惚
浮滑,轻狂
后果,效果
风平浪静,河清海晏
警戒,警惕
前线,火线
对峙,僵持
民俗,风俗
批驳,批判
裹足,缠足
挑拨是非,弄狗相咬
幻境,幻梦
先哲,前贤
称王称帝,称孤道寡
店主,店东
如之奈何,如何是好
农夫,农民
贫苦,麻烦
名堂,花样
零星,零散
抱残守缺,因循守旧
风趣,有趣
黑沉沉,黑洞洞
册本,书籍
开罪,获罪
披星带月,戴月披星
花卉,花草
整理,收拾整顿
屈服,屈从
坍毁,倒塌
驱使,使令
回籍,还乡
口不择言,轻诺寡言
概括,归纳综合
得罪,冒犯
面前目今,目下
家景,家境
连珠炮,连珠箭
偏见,成见
浮夸,夸张
御医,太医
诚实,老实
大家,各人
力图,力争
无意偶尔,偶然
孔武有力,力大无穷
设施,举措措施
真诚,朴拙
法网恢恢,天道好还
权势巨子,权威
牵挂,悬念
一触即发,剑拔弩张
困难,难题
困心衡虑,苦心焦虑
田契,田单
新苗,嫩芽
家道,家境
洁净,干净
胆子,胆量
凶恶,凶险
力求进步,力图上进
搏命,拼死
豪放,豪宕
悦目,好看
伴随,陪伴
骚乱,动乱
妊娠,怀胎
成仇,构怨
死亡,灭亡
建立,建树
材伎,材艺
痛恨,悔恨
机遇,时机
背工,回扣
噩梦,恶梦
财务,财政
履历,经历
凝结,凝聚
他日,异日
作育,造就
高出,横跨
打单,勒索
代庖,代办
方单,地契
随处,到处
十拿九稳,轻而易举
奸徒,奸棍
讨伐,伐罪
揭穿,揭露
路程,旅程
伐鼓,击鼓
剪刀,铰剪
步骤,步调
揣测,臆测
摇尾乞怜,乞哀告怜
软弱,脆弱
凉风,冷风
凌驾,超过
不论,非论
病愈,全愈
疲惫,疲钝
不服水土,水土不服
船面,甲板
匆忙,慌忙
全部,悉数
包围,围困
魂不附体,丢魂失魄
讲授,讲解
食斋,吃素
警察,警员
动手,着手
价钱,代价
发兵,兴兵
积贮,积蓄
含辛茹苦,历尽艰辛
偷窥,窃看
逾额,超额
无限,无穷
空门,佛门
不作数,不当准
乐意,高兴愿意
粉饰,掩饰
弛禁,开禁
忠言逆耳,良药苦口
请柬,请帖
抵挡,抵抗
握别,告别
宏大,宏壮
动员,带动
博古通今,博学多闻
交流,交换
荣誉,声誉
功名利禄,富贵荣华
介怀,介意
妙手,高手
羊毫,毛笔
干系,关系
稀罕,奇怪
头等,优等
针砭之语,药石之言
缄默沉静,沉默
模仿,仿照
毂下,都门
枯寂,寂聊
干练,老练
派遣,调派
比及,等到
剖析,理会
倾泻,倾注
黑洞洞,黑沉沉
推销,倾销
妓院,倡寮
态度,立场
因缘,人缘
心血,血汗
云云,如此
解当铺,典押铺
预支,预付
抱残守缺,故步自封
脱期,缓期
船坞,船厂
水火倒悬,水深火热
般游,盘游
浴池,混堂
风马不接,风马牛不相及
向来,素来
观察,考察
检举,揭发
屈辱,辱没
逼迫,强迫
浅近,浅显
奇妙,奥妙
本领,才干
梦幻泡影,海市蜃楼
泪流满面,泪如雨下
每天,天天
办事,供职
男子汉大丈夫,男儿膝下有黄金
故步自封,停滞不前
所在,地点
付梓,排印
啼声,叫声
唆使,挑唆
何关,何干
龙腾虎跃,龙马精神
美好,夸姣
穷途末路,断港绝潢
称呼,称谓
叙旧,话旧
订正,考订
坚贞,坚毅
安逸,安闲
偶然,偶尔
下令,命令
许诺,承诺
腴膏,膏腴
凶暴,泼辣
探究,探讨
兴高采烈,喜上眉梢
不长进,不成材
修业,求学
怅惘,惘然
奇妙,巧妙
发蒙,启蒙
光滑,滑腻
家眷,家属
关怀,关心
默不作声,哑口无言
痛处,把柄
平和,和蔼
情谊,情意
当作,看成
发难,起事
底稿,稿本
隔邻,隔壁
拍门,打门
碰杯,举杯
觉返迷津,迷途知反
滚滚,滔滔
推脱,推辞
军力,兵力
水上人家,浮家泛宅
接于眼前,近在眉睫
刀笔,词讼
蓬瀛仙境,蓬莱仙境
交友,结交
等量齐观,混为一谈
教唆,指使
构造,组织
宗子,长子
菲林,胶卷
觉醒,醒觉
借单,借条
各不相谋,各自为政
史乘,史籍
希望,愿望
洒泪,挥泪
掠夺,攫取
匆促,仓促
善于,长于
托钵,讨饭
媒人,媒妁
包袱,累赘
总论,泛论
警察,差人
义务,责任
冒失,莽撞
赠送,赠予
见机行事,看风使舵
忌辰,忌日
笔挺,笔直
崇拜,崇敬
不妥,不当
重病,宿疾
十丈软红,花花世界
调理,疗养
白昼,白天
镇定,镇静
桎梏,枷锁
颠簸,波动
浅笑,含笑
打水,吊水
空想,梦想
挑拨,教唆
火食,人烟
情同手足,情同骨肉
悬崖勒马,回头是岸
海隅,海阪
偏言,曲说
散漫,涣散
民风,风气
须臾,斯须
岗亭,岗位
崎岖,高低
小人得志,瓦釜雷鸣
不得要领,茫无头绪
用心,居心
积聚,储蓄积累
歕饭,喷饭
心满意足,称心满意
半数,折半
透辟,透彻
胆大如斗,泼天大胆
脚迹,脚印
深邃,艰深
承先启后,承前启后
玉成,成全
课堂,讲堂
墨客,骚人
雕栏,栏杆
参谋,顾问
包涵,见原
田主,地主
诞辰,生日
万万,千万
作用,用处
打算,筹算
凄凉,悲凉
穿着,穿戴
客气,虚心
痛痒相关,休戚相关
词翰,词章
谈天,聊天
床上安床,迭床架屋
谢谢,感谢
朱唇皓齿,唇红齿白
肥皂,番笕
订定,制定
怒发冲冠,发上指冠
打仗,兵戈
高古,古雅
爪牙,虎伥
学富五车,才高八斗
不断,不竭
腊尽冬残,年近岁迫
勾结,勾搭
时期,时代
汽船,轮船
凉爽,风凉
火警,火灾
老例,通例
使臣,青鸟使
谬爱,错爱
艳服,盛装
搪瓷,珐琅
租金,房钱
供词,口供
比方,比喻
扰乱,侵扰
陈说,陈述
托故,藉端
努力,勉力
美丽,斑斓
灵药,妙药
身材,身体
迷惑,利诱
光显,鲜明
抵牾,矛盾
力求,力图
大权独揽,大权在握
婢女,使女
成见,偏见
交界,交壤
困难,坚苦
童言无忌,百无禁忌
实行,实施
霹雳,轰隆
编辑,编纂
鄙视,蔑视
颓败,衰颓
欢乐,欢喜
得胜,获胜
报歉,道歉
行踪飘忽,出没无定
打消,消除
惭愧,忸捏
战战兢兢,小心翼翼
时价,市价
怪诞,神怪
同谋,共谋
颐养,保养
秦晋之好,两姓之欢
琐屑,零碎
圈套,骗局
求贤若渴,爱才如命
查考,覆按
剿灭,清剿
岌岌可危,朝不保夕
清平世界,太平时世
虔敬,虔诚
任意,随意率性
对待,看待
散逸,闲逸
事件,事务
稳操胜券,可操左券
鸿运,隆运
日积月累,穷年累月
时代,时期
将遇良才,棋逢敌手
震怖,慑伏
忧惧,恐忧
轻易,苟且
牛饮,豪饮
屏障,樊篱
捏词,设词
诅咒,谩骂
煮荳燃萁,同室操戈
青鸟使,使者
人云亦云,吠形吠声
废除,破除
博学多才,宏儒硕学
果断,武断
誊录,缮写
狼心狗肺,恶毒心肠
盘点,清点
遮掩,讳饰
留恋,迷恋
不知去向,不翼而飞
曲稿,唱本
寥寥无几,百里挑一
国法,法律王法公法
制作,制造
宁当玉碎,宁死不屈
荒唐,荒谬
商讨,参议
国脉,邦本
喋不休,大言不惭
暂时,临时
隆运,鸿运
百姓,国民
蓬首垢面,披头散发
合适,适合
聚精会神,目不斜视
远大,弘远
汉文,华文
免职,撤职
进退两难,进退失据
接受,接收
感化,传染感动
打猎,狩猎
目瞪口呆,呆头呆脑
密斯,女士
泪如泉涌,泪流满面
不对,差错
不当,欠妥
功成身退,急流勇退
观光,参观
抽芽,萌芽
前夜,前夕
顺道,顺路
奔驰,奔腾
骄兵必败,傲卒多降
过后行兵,坐失良机
刚毅,坚毅
茂盛,旺盛
兴致,兴趣
战士,兵士
字谜,灯谜
盛传,哄传
命途多舛,生不逢辰
登仙,尸解
剩余,残剩
接收,领受
难懂,难明
磋商,商量
豪富,大富
较量,较劲
票据,单子
腾飞,起飞
血战,决战苦战
典押铺,解当铺
竞渡,赛舟
得陇望蜀,贪心不足
旅费,盘缠
结婚,成婚
凋落,凋零
建立,竖立
叹伤,悲叹
认识,熟悉
给与,授与
冒死,拼命
兵舰,军舰
微时之交,布衣之交
赤胆忠心,忠心耿耿
提防,防备
光阴似箭,白驹过隙
刁悍,强悍
面庞,脸庞
虎头蛇尾,有始无终
市肆,商店
克制,抑制
无端,无故
千金,令媛
横行霸道,胡作非为
蓝本,底本
必需,必须
首次,初次
推测,猜度
搜刮,搜索
百战百胜,战无不胜
养成工,练习生
民众,公众
好汉,豪杰
功劳,功绩
莺啼燕语,鸟语花香
评议,评断
绝壁,峭壁
上进,长进
门生,学生
魁首,翘楚
谛听,倾听
灾祸,灾难
刀刀见血,一针见血
皮毛,外相
猥贱,卑贱
年轻力壮,手轻脚健
怒目,横目
夸大,强调
答应,应允
发言,谈话
东西,器械
歌唱,讴歌
清理,清算
敬慎,恪慎
鬼域伎俩,阴谋诡计
逐步,慢慢
年夜,大年夜
强制,强迫
罗网,坎阱
心神不定,犹豫不决
轻浮,轻佻
明了,清楚明了
缮写,抄录
责备,责怪
开释,释放
勾引,诱惑
母钱,母财
很久,良久
力把,利巴
奉命,衔命
卷铺盖,炒鱿鱼
丁一卯二,的一确二
适合,合适
托付,拜托
高贵,崇高
创造,缔造
采取,采纳
刻舟求剑,一成不变
平淡,平庸
赤军,红军
明白,认识打听
动身,起程
巨猾,大奸
佳誉,美誉
常常,经常
贬价,降价
庆贺,祝贺
热心,热情
战死沙场,马革裹尸
露珠,露水
托钵人,叫花子
旅费,盘费盘川
蚍蜉撼树,不自量力
晚景,暮景
自身难保,自顾不暇
调治,调节
骄恣,骄纵
猜忌,猜疑
吸风饮露,沐雨栉风
忠厚,忠诚
府上,尊府
狠毒,暴虐
形影相吊,形单影只
qq游戏,腾讯qq游戏
劝告,奉劝
诱骗,欺骗
牢靠,坚固
那边,那里
来临,到临
放纵,纵容
走漏,泄漏
昆虫,虫豸
把脉,切脉
垂涎欲滴,馋涎欲滴
应付自如,应付裕如
大煞风景,焚琴煮鹤
墓地,坟场
历尽艰辛,坚苦卓绝
责任,义务
办法,门径
芗泽,芳泽
勾引,蛊惑
忍苦,吃苦俭朴
还击,反击
众多,浩繁
痛苦,疾苦
脚色,角色
死去活来,起死回生
工具,东西
渴望,渴想
筹办,筹备
实事求是,量力而行
袒露,暴露
求饶,讨饶
喧闹,闹热热烈繁华
岂论,不论
绵延,连绵
行刺,谋杀
发愤,发奋
前思后想,忖前思后
腐败,靡烂
伟大,巨大
螳臂挡车,蚍蜉撼树
操持,筹划
天气,天色
一孔之见,一知半解
昙花一现,好景不常
庇护,呵护
联系,接洽
变革,变化
内助,浑家
凭空捏造,闭门造车
屡见不鲜,不足为奇
心胆俱寒,胆破心惊
时光虚掷,马齿徒增
漏网之鱼,丧家之犬
谋害,坑害
百折不挠,坚定不移
许诺,允诺
脑子,头脑
尸谏,死谏
骄纵,骄恣
鸿猷,鹏图
巢毁卵破,唇亡齿寒
照旧,还是
绝路末路,死路
募捐,捐献
大澈大悟,澈底觉悟
起源,发源
早起,夙起
大言不惭,大吹牛皮
宛在目前,栩栩如生
野史,别史
是非黑白,青红皂白
阴阳怪气,古里古怪
非难,谴责
革故鼎新,除旧更新
逢迎,迎合
年轻貌美,绮年玉貌
后悔,懊悔
发作,爆发
空闲,余暇
目送手挥,手挥目送
耗费,花消
贪嘴,贪馋
民心,民气
稳定,不变
舍下,寒舍
伏祈,伏乞
搬家,搬场
包罗,包含
铰链,搭钮
把戏,花招
即是,等于
大方,慷慨
冬衣,寒衣
滋长,滋生
联合,结合
捷报,喜报
众寡不敌,寡不敌众
阻挡,阻拦
天南海北,天南地北
入伍,参军
体会,领会
性命,生命
协力,合力
术士,方士
辛劳,辛勤
气吞山河,气势磅礡
誊写,书写
成果,功效
飞翔,飞行
外助,外援
明目张胆,所行无忌
惊诧,惊愕
决策,决议计划
时候,时辰
托词,遁词
故居,旧居
犬牙交错,长短不一
讨债,索债
审讯,审判
这天,是日
念佛,念经
青梅竹马,两小无猜
歧视,轻视
只管即便,尽量
女优,女伶
偷安,苟安
疲劳,疲惫
源远流长,积厚流光
内,内乱
当仁不让,义无反顾
庙门,山门
医生,大夫
名过其实,过甚其词
超出,超越
平素,平昔
凋零,倒退腐败
草泽,草莽
身体,身材
往复,来去
现状,近况
鹞子,风筝
德威并用,恩威并重
资历,资格
讲课,授课
不露声色,不露神色
水渠,沟渠
攀龙趋凤,阿谀奉承
对联,春联
龟婆,鸨母
门庭若市,熙熙攘攘
笞打,楚挞
迷恋,沉沦
威吓,恐吓
金吾不禁,城开不夜
表面,概况
缧绁,监牢
外传,别传
补助,补贴
喘息,喘气
汲取,罗致
陪罪,告罪
农历,阴历
为所欲为,随心所欲
对照,对比
通常,平常
动人,感人
小路,巷子
旧帐,陈帐
重修,重建
交代,交卸
颓废,颓丧
皮囊,皮郛
遗言,绝笔
敬拜,膜拜
扪心,抚心
百姓,黎民
锻炼,熬炼
同气连枝,手足同心
赏赐,犒赏
老人,白叟
洁白,雪白
仆从,奴才
调换,换取
呼唤,召唤
拂衣,拂袖
愚蠢,愚昧
继述,绍述
明白,明确
比赛,竞赛
顷刻,瞬息
生命,性命
安定,安靖
年初,岁首年月
牌号,商标
后妻,继室
茂盛,蕃芜
平局,平手
恩仇,恩怨
言不尽意,书不宣意
细姨,如夫人
冗杂,芜杂
繁华,繁荣
联姻,攀亲
机器,机械
市面,市道
邓通之财,石崇之富
修养,教养
改正,纠正
积蓄,积贮
凡间,世间
阿谀,奉承
防范,提防
恳求,请求
痛楚,痛苦
报告,呈文
面目,脸孔
浪费,挥霍
一无长物,别无长物
各别,各异
大醉,烂醉陶醉
通常,每每
欲言又止,半吐半吞
尔后,而后
臆测,揣测
决战苦战,死战
捏词,砌词
门庭若市,车水马龙
行动,行为
良伴,良俦
打斗,斗殴
卓著,卓越
定例,定规
发妻,嫡妻
虫豸,昆虫
排队,列队
初次,初度
首要,重要
一呼百应,一呼百诺
感叹,感慨
妨害,妨碍
暖和,和煦
出家,落发
正犯,首犯
节流,撙节
质料,原料
身后,死后
痛爱,宠爱
畏妻如虎,河东狮吼
仔细,细心
摊平,铺平
衖堂,弄堂
滚瓜烂熟,倒背如流
致谢,称谢
旗帜,旌旗
宽心,宽解
人心不古,世道沦亡
宴客,请客
灾难,灾害
可笑,好笑
抖擞,奋起
关连,干系
保重,珍重
歌女,女乐
﻿安乐,安泰
敷衍,唐塞
长袖善舞,多财善贾
规劝,劝戒
澈底觉悟,大澈大悟
书籍,书本
不吝珠玉,不吝指教
出现,泛起
停滞,阻滞
退兵,退军
矫健,壮健
将信将疑,半信半疑
表明,解释
炎天,夏天
讲堂,课堂
离奇,瑰异
叨教,请示
步调,步骤
凄惨,悲凉
倾心,倾慕
相沿,沿用
豪放,豪迈
窃窃私议,低声密谈
尘事,尘务
繁荣,繁华
明火执仗,明目张胆
混合,夹杂
援军,救兵
背道而驰,各走各路
腻烦,烦厌
普天同庆,率土同庆
撇清,抛清
俊俏,姣美
担任,担负
暂休,少憩
学费,膏火
墨绿,茶青
怀愁,抱恨
鼓起,兴起
广告,告白
批评,指斥
哄人,骗人
仆役,仆人
突出,凸起
玩笑,打趣
食品,食物
手段,手腕
变乱,事件
深邃,深奥
木樨,桂花
故意,有心
七零八落,乱七八糟
讥笑,讽刺
叛变,哗变
时过境迁,明日黄花
平稳,安稳
战场,疆场
不相上下,分庭抗礼
弁急,遑急
内在,内涵
炊事,伙食
诃斥,斥骂
含混,含糊
疏弃,荒废
镌谕,恳
流落,流浪
确实,确切
抱怨,诉苦
孤独,孤傲
一丘之貉,全无分别
成仁取义,视死如归
回复,答复
秘而不宣,秘而不泄
本心,本旨
当铺,寺库
农人,农夫
办事,做事
生存,糊口生涯
遇到,碰到
权术,权谋
劳累,劳顿
团体,集体
落伍,落后
锤炼,锻炼
讯断,判决
偷袭,狙击
假公济私,损人利己
挚友,好友
刀头之蜜,佛口蛇心
今年,这一年
体魄,体格
黄灿灿,金灿灿
木人石心,铁石心肠
俎上肉,釜中鱼
钱粮,赋税
故乡,故里
乡下,乡间
蛮横,桀骛
目标,方针
一笑置之,付之一笑
畏惧,害怕
水落石出,内情毕露
斗篷,大氅
颟顸,昏瞶
渐渐,逐步
刀切斧砍,斩钉截铁
成果,结果
别无长物,一无长物
授人以柄,倒持泰阿
参军,从军
胆量,胆子
实施,实行
停止,截至
平和,平宁
经理,司理
把持,垄断
归并,合并
克制,胁制
歌唱,歌颂
半夜,三鼓
商量,磋商
中止,中断
南柯一梦,黄粱一梦
行运,交运
鸣金收兵,销声匿迹
面孔,面貌
严峻,严肃
内乱,内哄
散步,漫步
受贿,纳贿
长眠,长逝
温文尔雅,文质彬彬
一筹莫展,束手无策
怕羞,害臊
费尽唇舌,唇焦舌敝
偶合,巧合
打扮,服装
检验,检讨
审慎,谨慎
齐备,完好
接纳,回收
打水,取水
改过,悛改
尺牍,函牍
补助,津贴
猜中,料中
剖析,分解
龙马精神,活龙活现
凝集,凝聚
寂静,悄然
状态,状况
服从,屈服
严明,严正
冷面,冰脸
甘心,宁愿
文籍,典籍
杀鸡取卵,不留余地
夷狄,蛮夷
济困解危,雪中送炭
同辈,平辈
偃蹇困穷,命运坎坷
欠安,不佳
悬挂,吊挂
年事,年纪
片面,单方面
昭雪,平反
弊端,短处
锻练,教练
一日千里,进步神速
房东,房主
局势,大势
冰冷,严寒
追悔不及,后悔无及
劫夺,侵掠
回答,答复
货币,钱银
到处,四处
引狼入室,开门揖盗
年轻,年青
朴直,梗直
培植,培养
历尽艰辛,千辛万苦
连接,衔接
年月,年代
佛教,释教
申明,声名
跟随,跟从
荒凉,荒漠
废除,撤废
表情,脸色
流落,漂泊
触目皆是,比比皆是
勉励,鼓励
照拂,垂问咨询人
怒不可遏,大肆咆哮
面如死灰,面如土色
溺爱,宠嬖
财政,财务
不顾曲直,不分皁白
弛刑,减刑
惊惶失措,手足无措
得偿所愿,称心如意
看管,把守
思念,怀念
发行,刊行
锋利,厉害
入境问禁,入国问俗
扪心自问,抚躬自问
岁入,岁收
灭顶,溺死
谣传,讹传
停业,歇业
狞恶,狂暴
弊端,坏处
花天酒地,酒绿灯红
放学,下学
乘车,搭车
掉臂,不顾
看破,看穿
贤明,英明
贪吏,污吏
谢罪,赔罪
刻舟求剑,萧规曹随
好像,彷佛
高慢,孤高
喧宾夺主,鹊巢鸠占
来世,下世
何在,安在
覆盖,笼盖
安不忘危,居安思危
珠光宝气,翠绕珠围
考场,科场
力图上进,力争上游
州官放火,明知故犯
简练,简洁
招抚,招安
失职,渎职
不理,不睬
何足道哉,不值一提
百般,千般
告诉,告知
气宇,气度
一下子,一会儿
盘蹲,箕踞
两全,分身
偷换,掉包
闭口,杜口
祭奠,敬拜
神仙世界,极乐世界
大喜过望,喜出望外
阐述,论述
不夺农时,不违农时
日就衰败,每况愈下
不搭腔,不答腔
刊登,登载
看护,关照
演武厅,检阅场
分辨,分辩
退役还乡,解甲归田
抱恨,怀怨
夸张,夸大
灰心,气馁
平静,安静
乐道安贫,伏枥守株
相信,信任
贪婪,贪心
沦陷,陷落
扫除,拂拭
安乐,安泰
孱弱,羸弱
浑厚,憨厚
拔苗助长,欲速不达
丧母,失恃
浩繁,众多
勤俭,节约
当心,把稳
免职,夺职
赶早,及早
埋没,潜匿
风韵,风味
现在,此刻
道貌岸然,不苟言笑
老蚌生珠,老年得子
黑白不分,善恶不分
看望,探望
起誓,发誓
鉴别,判别
烦躁,焦躁
水师,海军
震惊,震动
抽噎,抽泣
高大,高峻
窜扰,窜犯
猛烈,狠恶
盘问,盘诘
长短不一,犬牙交错
跌价,减价
本质,素质
盘旋,回旋扭转
发起,倡议
赦宥,赦免
模棱两可,含糊其词
不同,分歧
老迈,垂老
密码,暗码
海军,水兵
洗面革心,改头换面
放纵,放肆
媾和,宣战
妥善,妥当
佼佼不群,鹤立鸡群
践约,如约
卑劣,拙劣
敷衍,马虎
忽然,遽然
美满收场,曲终奏雅
田户,佃户
斑点,黑点
打碎,打坏
个体,个别
搀杂,夹杂
料理,摒挡
洁白,明净
体现,表现
标记,标识表记标帜
方向,标的目的
冒犯,冲犯
发芽,抽芽
职位地方,地位
传记,列传
心伤,心酸
起誓,赌咒
一声不响,一言不发
立刻,马上
吃尽当光,罗掘俱穷
周围,四周
沉着,镇静
挂心,挂记
祥瑞,吉祥
笑貌,笑容
不厌求详,不厌其详
打击,冲击
穷人,贫民
顺服,顺从制服
都城,首都
领导,辅导
软禁,囚禁
门生,高足
暴虐,残暴
商业,贸易
存案,备案
得救,解围
罢免,免职
伤害,危险
独断专行,固执己见
勤学不辍,孜孜不倦
地步,田地
访拿,踩缉
生龙活虎,龙精虎猛
沉湎,沉沦
平正,平允
升引,起用
圭臬标准,圭表
息争,和解
费力,吃力
破绽,马脚
盘问,盘考
不吝指教,不吝珠玉
景致,风景
棋战,对弈
得胜,告捷
死生之交,啮臂之交
腌臜,污秽
仁至义尽,穷力尽心
出色,精彩
寒门饮恨,牛衣对泣
崇高,高尚
咀嚼,品味
笑脸,笑容
频频,屡屡
确当,的当
颓龄,衰年
乘机,伺机
敬服,尊崇
酌定,裁夺
轸慕,痛念
看法,见地
戏弄,把玩簸弄
注射,打针
水果,生果
拜见,拜会
舌粲莲花,能言善辩
吹糠见米,立杆见影
技艺,身手
慷慨解囊,仗义疏财
脱销,畅销
退军,退兵
米珠薪贵,斗粟囊金
客岁,旧年
票据,单据
频频,几次
压轴好戏,好酒沉瓮底
曲折小路,羊肠小道
王谢,名门
马首是瞻,亦步亦趋
景仰,钦慕
铁价,不二价
壮实,结实
随侍,陪侍
后退,撤退退却
高贵,高尚
从头到尾,从头至尾
图画,丹青
当头一棒,当头棒喝
聪明一世,懵懂一时
天涯海角,海角天涯
阴谋诡计,鬼域伎俩
表面,外面
幸不辱命,不辱使命
发号施令,发号出令
固若金汤,稳如泰山
不绝,不停
觉得,感觉
东山再起,死灰复然
率土同庆,歌功颂德
接纳,采用
老年得子,老蚌生珠
攻击,进击
匆匆,促
猪狗不如,狗彘不若
敌视,仇视
欢迎,接待
白种人,碧眼儿
适应,顺应
设备,装备
审判,审讯
生生世世,世世代代
处置惩罚,处理
畏怯,胆怯
才华,才调
岗位,岗亭
始终如一,持之以恒
不对,差池
组成,构成
血气之勇,匹夫之勇
化险为夷,逢凶化吉
阻挡,反对
赔偿,补偿
频仍,频繁
含笑入地,含笑九泉
研讨,研究
屯子,农村
地契,方单
拜望,探访
晦涩,艰涩
寝衣,睡衣
预见,预感
坦直,爽直
相互,互相
供不应求,求过于供
绮襦纨裤,绮绮子弟
取信,守信
呆笨,愚拙
耳语,私语
对天长叹,长吁短叹
特点,特色
坚毅,刚毅
发誓,立誓
飘扬,飘荡
负担,肩负
地域,地区
遐想,联想
遭遇,遭受
好身手,好本领
发觉,觉察
没关系,不妨事
喷鼻香,喷香
变更,变换
严容,厉色
飞腾,高涨
弃取,取舍
趁热打铁,一气呵成
镌刻,雕刻
分说,分辩
标语,口号
为人作嫁,依人篱下
才华,才气
吹捧,吹嘘
军械,军器
井井有条,层次分明
仓促,急促
窜改,改动
庆贺,庆祝
妙语连珠,妙语解颐
四六文,骈体文
荒诞,怪诞
表示,示意
首脑,领袖
排列,摆列
开端,初阶
萍泊,萍浮
光明正大,名正言顺
考虑,斟酌
雄心万丈,壮志凌云
成绩,成就
鬼火,磷火
暮鼓晨钟,金口木舌
寄放,存放
素性,生性
通达,通晓
孓然一身,形影相吊
陵夷,衰微
断绝,拒却
当面错过,失之交臂
切口,瘦语
还是,照旧
补充,增补
分离,分手
歌颂,称道
年纪,年数
童叟无欺,老少无欺
气绝,断气
本质,实质
躲债,避债
传播,传布
脱期,宽限
笑剧,喜剧
屈曲,愚昧
翱翔,遨游
白天,白昼
孕育发生,产生
理直气壮,义正辞严
隧道,地道
精美,精彩
不够,不敷
攀缘,攀登
倘使,假使
著名,有名
持重,稳重
诚恳,恳切
难得,可贵
衰微,陵夷
庖丁,厨子
自信,自傲
念念不忘,历历在目
送死,送命
表面,外观
同寅,同僚
一直,一向
种田,耕田
扎营,安营
公开场合,公共场所
说一是一,一言为定
每每,常常
不露锋芒,不露圭角
不辞劳怨,不辞劳苦
开火,开仗
坚固,坚实
拉拢,撮合
秘诀,窍门
奉送,赠送
伤时感事,忧国忧民
马虎,纰漏
充当,充任
主意,主张
影射,暗射
覆水难收,反水不收
荼毒,苛虐
规律,纪律
轻细,轻微
尽力,极力
博识,精深
丁忧,母丧
航海,帆海
复原,回复复兴
反照,倒映
收买,拉拢
幸亏,好在
自察,内省
心算,默算
外族,异族
丹成相许,披肝沥胆
冷风,凉风
扑灭,歼灭
披沙拣金,去粗取精
缝扣子,钉扣子
费尽唇舌,舌敝唇焦
采纳,采用
答应,答允
女婢,女侍
妄想,妄图
颔首,点头
推许,推崇
优胜,优越
笑哈哈,笑嘻嘻
拂面,掠面
齐备,齐全
茶楼,茶肆
罪大恶极,罪孽深重
失去,落空
掘客,发掘
幽默,滑稽
腐朽,陈旧迂腐
年龄,岁数
清闲,安逸
茶室,茶馆
仓皇,仓促
包藏祸心,存心不良
把持,独霸
骇人听闻,耸人听闻
苛捐杂税,横征暴敛
可佩,可钦
妄图,妄想
白发,鹤发
痕迹,陈迹
梳妆,打扮
有伤风化,伤风败俗
素交,故旧
年末,岁终
起程,启程
鱼雁不绝,雁足传书
自感汗颜,自惭形秽
丛聚,簇集
斥革,革退
蛮横,犷悍
老手,熟手在行
出世,降生
朋友,同伙
开幕,揭幕
保举,推荐
审察,打量
微妙,奥妙
包办,承办
江山,山河
立誓,发誓
就逮,落网
